Node132	 	 x:0.5	 y:0.6	 	1
Node133	 	 x:0.6	 y:0.6	 	1
Node134	 	 x:0.7	 y:0.6	 	1
Node135	 	 x:0.8	 y:0.6	 	1
Node136	 	 x:-0.8	 y:0.5	 	1
Node137	 	 x:-0.7	 y:0.5	 	1
Node138	 	 x:-0.6	 y:0.5	 	1
Node139	 	 x:-0.5	 y:0.5	 	1
Node140	 	 x:-0.4	 y:0.5	 	1
Node141	 	 x:-0.3	 y:0.5	 	0
Node142	 	 x:-0.2	 y:0.5	 	0
Node143	 	 x:-0.1	 y:0.5	 	0
Node144	 	 x:0	 y:0.5	 	0
Node145	 	 x:0.1	 y:0.5	 	0
Node146	 	 x:0.2	 y:0.5	 	0
Node147	 	 x:0.3	 y:0.5	 	0
Node148	 	 x:0.4	 y:0.5	 	1
Node149	 	 x:0.5	 y:0.5	 	1
Node150	 	 x:0.6	 y:0.5	 	1
Node151	 	 x:0.7	 y:0.5	 	1
Node152	 	 x:0.8	 y:0.5	 	1
Node153	 	 x:-0.8	 y:0.4	 	1
Node154	 	 x:-0.7	 y:0.4	 	1
Node155	 	 x:-0.6	 y:0.4	 	1
Node156	 	 x:-0.5	 y:0.4	 	1
Node157	 	 x:-0.4	 y:0.4	 	1
Node158	 	 x:-0.3	 y:0.4	 	0
Node159	 	 x:-0.2	 y:0.4	 	0
Node160	 	 x:-0.1	 y:0.4	 	0
Node161	 	 x:0	 y:0.4	 	0
Node162	 	 x:0.1	 y:0.4	 	0
Node163	 	 x:0.2	 y:0.4	 	0
Node164	 	 x:0.3	 y:0.4	 	0
Node165	 	 x:0.4	 y:0.4	 	1
Node166	 	 x:0.5	 y:0.4	 	1
Node167	 	 x:0.6	 y:0.4	 	1
Node168	 	 x:0.7	 y:0.4	 	1
Node169	 	 x:0.8	 y:0.4	 	1
Node170	 	 x:-0.8	 y:0.3	 	1
Node171	 	 x:-0.7	 y:0.3	 	1
Node172	 	 x:-0.6	 y:0.3	 	1
Node173	 	 x:-0.5	 y:0.3	 	1
Node174	 	 x:-0.4	 y:0.3	 	1
Node175	 	 x:-0.3	 y:0.3	 	0
Node176	 	 x:-0.2	 y:0.3	 	0
Node177	 	 x:-0.1	 y:0.3	 	0
Node178	 	 x:0	 y:0.3	 	0
Node179	 	 x:0.1	 y:0.3	 	0
Node180	 	 x:0.2	 y:0.3	 	0
Node181	 	 x:0.3	 y:0.3	 	0
Node182	 	 x:0.4	 y:0.3	 	1
Node183	 	 x:0.5	 y:0.3	 	1
Node184	 	 x:0.6	 y:0.3	 	1
Node185	 	 x:0.7	 y:0.3	 	1
Node186	 	 x:0.8	 y:0.3	 	1
Node187	 	 x:-0.8	 y:0.2	 	1
Node188	 	 x:-0.7	 y:0.2	 	1
Node189	 	 x:-0.6	 y:0.2	 	0
Node190	 	 x:-0.5	 y:0.2	 	0
Node191	 	 x:-0.4	 y:0.2	 	0
Node192	 	 x:-0.3	 y:0.2	 	0
Node193	 	 x:-0.2	 y:0.2	 	0
Node194	 	 x:-0.1	 y:0.2	 	0
Node195	 	 x:0	 y:0.2	 	0
Node196	 	 x:0.1	 y:0.2	 	0
Node197	 	 x:0.2	 y:0.2	 	0
Node198	 	 x:0.3	 y:0.2	 	0
Node199	 	 x:0.4	 y:0.2	 	1
Node200	 	 x:0.5	 y:0.2	 	1
Node201	 	 x:0.6	 y:0.2	 	1
Node202	 	 x:0.7	 y:0.2	 	1
Node203	 	 x:0.8	 y:0.2	 	1
Node204	 	 x:-0.8	 y:0.1	 	1
Node205	 	 x:-0.7	 y:0.1	 	1
Node206	 	 x:-0.6	 y:0.1	 	0
Node207	 	 x:-0.5	 y:0.1	 	0
Node208	 	 x:-0.4	 y:0.1	 	0
Node209	 	 x:-0.3	 y:0.1	 	0
Node210	 	 x:-0.2	 y:0.1	 	0
Node211	 	 x:-0.1	 y:0.1	 	0
Node212	 	 x:0	 y:0.1	 	0
Node213	 	 x:0.1	 y:0.1	 	1
Node214	 	 x:0.2	 y:0.1	 	1
Node215	 	 x:0.3	 y:0.1	 	1
Node216	 	 x:0.4	 y:0.1	 	1
Node217	 	 x:0.5	 y:0.1	 	1
Node218	 	 x:0.6	 y:0.1	 	1
Node219	 	 x:0.7	 y:0.1	 	1
Node220	 	 x:0.8	 y:0.1	 	1
Node221	 	 x:-0.8	 y:-4.84288e-08	 	1
Node222	 	 x:-0.7	 y:-4.84288e-08	 	1
Node223	 	 x:-0.6	 y:-4.84288e-08	 	0
Node224	 	 x:-0.5	 y:-4.84288e-08	 	0
Node225	 	 x:-0.4	 y:-4.84288e-08	 	0
Node226	 	 x:-0.3	 y:-4.84288e-08	 	0
Node227	 	 x:-0.2	 y:-4.84288e-08	 	0
Node228	 	 x:-0.1	 y:-4.84288e-08	 	0
Node229	 	 x:0	 y:-4.84288e-08	 	0
Node230	 	 x:0.1	 y:-4.84288e-08	 	1
Node231	 	 x:0.2	 y:-4.84288e-08	 	1
Node232	 	 x:0.3	 y:-4.84288e-08	 	1
Node233	 	 x:0.4	 y:-4.84288e-08	 	1
Node234	 	 x:0.5	 y:-4.84288e-08	 	1
Node235	 	 x:0.6	 y:-4.84288e-08	 	1
Node236	 	 x:0.7	 y:-4.84288e-08	 	1
Node237	 	 x:0.8	 y:-4.84288e-08	 	1
Node238	 	 x:-0.8	 y:-0.0999999	 	1
Node239	 	 x:-0.7	 y:-0.0999999	 	1
Node240	 	 x:-0.6	 y:-0.0999999	 	0
Node241	 	 x:-0.5	 y:-0.0999999	 	0
Node242	 	 x:-0.4	 y:-0.0999999	 	0
Node243	 	 x:-0.3	 y:-0.0999999	 	0
Node244	 	 x:-0.2	 y:-0.0999999	 	0
Node245	 	 x:-0.1	 y:-0.0999999	 	0
Node246	 	 x:0	 y:-0.0999999	 	0
Node247	 	 x:0.1	 y:-0.0999999	 	1
Node248	 	 x:0.2	 y:-0.0999999	 	1
Node249	 	 x:0.3	 y:-0.0999999	 	1
Node250	 	 x:0.4	 y:-0.0999999	 	1
Node251	 	 x:0.5	 y:-0.0999999	 	1
Node252	 	 x:0.6	 y:-0.0999999	 	1
Node253	 	 x:0.7	 y:-0.0999999	 	1
Node254	 	 x:0.8	 y:-0.0999999	 	1
Node255	 	 x:-0.8	 y:-0.2	 	1
Node256	 	 x:-0.7	 y:-0.2	 	1
